Test MSE,Train loss,Valid MSE,epoch,step
,,1.1087031364440918,0,104
,0.8527800440788269,,0,104
,,1.0049240589141846,1,209
,0.715412974357605,,1,209
,,0.8857738971710205,2,314
,0.637797474861145,,2,314
,,1.006935715675354,3,419
,0.5699663758277893,,3,419
,,0.8612159490585327,4,524
,0.5310484170913696,,4,524
,,0.8719260096549988,5,629
,0.508919894695282,,5,629
,,0.7960055470466614,6,734
,0.47189468145370483,,6,734
,,0.7018342614173889,7,839
,0.44545620679855347,,7,839
,,0.7413791418075562,8,944
,0.43423280119895935,,8,944
,,0.6863806843757629,9,1049
,0.4130794405937195,,9,1049
,,0.9080517292022705,10,1154
,0.38981375098228455,,10,1154
,,0.6198759078979492,11,1259
,0.37328100204467773,,11,1259
,,0.6205220222473145,12,1364
,0.37839096784591675,,12,1364
,,0.6182422637939453,13,1469
,0.346710205078125,,13,1469
,,0.9395833611488342,14,1574
,0.35200169682502747,,14,1574
,,0.6362018585205078,15,1679
,0.33794769644737244,,15,1679
,,0.5961214900016785,16,1784
,0.3272976577281952,,16,1784
,,0.6904858350753784,17,1889
,0.32334232330322266,,17,1889
,,0.6224381327629089,18,1994
,0.3158438801765442,,18,1994
,,0.6120778918266296,19,2099
,0.31075921654701233,,19,2099
,,0.5859931111335754,20,2204
,0.3086715638637543,,20,2204
,,0.6534019112586975,21,2309
,0.2967681884765625,,21,2309
,,0.5735646486282349,22,2414
,0.2938087582588196,,22,2414
,,0.585891604423523,23,2519
,0.2880575656890869,,23,2519
,,0.5807315111160278,24,2624
,0.28569287061691284,,24,2624
,,0.5278682112693787,25,2729
,0.2729070484638214,,25,2729
,,0.5780132412910461,26,2834
,0.282031774520874,,26,2834
,,0.5180057883262634,27,2939
,0.28351646661758423,,27,2939
,,0.5886616110801697,28,3044
,0.26936203241348267,,28,3044
,,0.5493345856666565,29,3149
,0.2609703540802002,,29,3149
,,0.5133381485939026,30,3254
,0.28258782625198364,,30,3254
,,0.512634813785553,31,3359
,0.2573900818824768,,31,3359
,,0.5612590312957764,32,3464
,0.25506117939949036,,32,3464
,,0.5442433953285217,33,3569
,0.24896514415740967,,33,3569
,,0.5560200214385986,34,3674
,0.24765686690807343,,34,3674
,,0.5287958979606628,35,3779
,0.24169081449508667,,35,3779
,,0.7647880911827087,36,3884
,0.24912399053573608,,36,3884
,,0.5291492342948914,37,3989
,0.241031676530838,,37,3989
,,0.5351386070251465,38,4094
,0.23338019847869873,,38,4094
,,0.6555615067481995,39,4199
,0.23644612729549408,,39,4199
,,0.5339646339416504,40,4304
,0.22485339641571045,,40,4304
,,0.5390341281890869,41,4409
,0.22249363362789154,,41,4409
,,0.4810914099216461,42,4514
,0.22288744151592255,,42,4514
,,0.49844539165496826,43,4619
,0.2159506380558014,,43,4619
,,0.5935232043266296,44,4724
,0.22307272255420685,,44,4724
,,0.4608812928199768,45,4829
,0.21679721772670746,,45,4829
,,0.5779319405555725,46,4934
,0.21220432221889496,,46,4934
,,0.48502156138420105,47,5039
,0.21294882893562317,,47,5039
,,0.46188458800315857,48,5144
,0.22213239967823029,,48,5144
,,0.5614328384399414,49,5249
,0.20910482108592987,,49,5249
,,0.5273852944374084,50,5354
,0.20484770834445953,,50,5354
,,0.503403902053833,51,5459
,0.21316564083099365,,51,5459
,,0.6327639222145081,52,5564
,0.20068399608135223,,52,5564
,,0.5127792954444885,53,5669
,0.20560987293720245,,53,5669
,,0.5143644213676453,54,5774
,0.20116358995437622,,54,5774
,,0.4643535614013672,55,5879
,0.20136336982250214,,55,5879
,,0.5534923076629639,56,5984
,0.19856882095336914,,56,5984
,,0.5024579167366028,57,6089
,0.19681210815906525,,57,6089
,,0.48143380880355835,58,6194
,0.19418419897556305,,58,6194
,,0.5063855051994324,59,6299
,0.18794390559196472,,59,6299
,,0.5523491501808167,60,6404
,0.19861763715744019,,60,6404
,,0.4927060306072235,61,6509
,0.18515673279762268,,61,6509
,,0.5792926549911499,62,6614
,0.18076670169830322,,62,6614
,,0.4816911518573761,63,6719
,0.18233010172843933,,63,6719
,,0.5870427489280701,64,6824
,0.18182452023029327,,64,6824
,,0.45070746541023254,65,6929
,0.18884173035621643,,65,6929
,,0.534946084022522,66,7034
,0.17452110350131989,,66,7034
,,0.5335297584533691,67,7139
,0.18006056547164917,,67,7139
,,0.48109564185142517,68,7244
,0.17664258182048798,,68,7244
,,0.45067650079727173,69,7349
,0.17428851127624512,,69,7349
,,0.5278189182281494,70,7454
,0.17012663185596466,,70,7454
,,0.4712181091308594,71,7559
,0.17139436304569244,,71,7559
,,0.4675745368003845,72,7664
,0.16212265193462372,,72,7664
,,0.5138508677482605,73,7769
,0.17596331238746643,,73,7769
,,0.48378175497055054,74,7874
,0.16920974850654602,,74,7874
,,0.4689841866493225,75,7979
