Test MSE,Train loss,Valid MSE,epoch,step
,,1.6907633543014526,0,52
,0.7967944145202637,,0,52
,,0.9839876294136047,1,105
,0.682334840297699,,1,105
,,1.6135538816452026,2,158
,0.6138740181922913,,2,158
,,0.8400778770446777,3,211
,0.5367652177810669,,3,211
,,0.9873253703117371,4,264
,0.4862305819988251,,4,264
,,0.8117344975471497,5,317
,0.43184584379196167,,5,317
,,0.7525743246078491,6,370
,0.4066000282764435,,6,370
,,0.8101136088371277,7,423
,0.37021350860595703,,7,423
,,0.6290936470031738,8,476
,0.3635435998439789,,8,476
,,1.018235683441162,9,529
,0.33517760038375854,,9,529
,,0.6297340989112854,10,582
,0.3171658217906952,,10,582
,,0.8076047301292419,11,635
,0.295546293258667,,11,635
,,0.7722213864326477,12,688
,0.2983362376689911,,12,688
,,0.5615990161895752,13,741
,0.28157660365104675,,13,741
,,0.49068015813827515,14,794
,0.28255823254585266,,14,794
,,0.8015676736831665,15,847
,0.27205315232276917,,15,847
,,0.6834972500801086,16,900
,0.25732317566871643,,16,900
,,0.5063053369522095,17,953
,0.2520352602005005,,17,953
,,0.661384105682373,18,1006
,0.23867225646972656,,18,1006
,,1.0224288702011108,19,1059
,0.23928764462471008,,19,1059
,,0.546907901763916,20,1112
,0.23635083436965942,,20,1112
,,0.5668749809265137,21,1165
,0.22469502687454224,,21,1165
,,0.6319683790206909,22,1218
,0.2218448370695114,,22,1218
,,0.4818119406700134,23,1271
,0.22290611267089844,,23,1271
,,0.5597691535949707,24,1324
,0.21397723257541656,,24,1324
,,0.9187687635421753,25,1377
,0.2212531566619873,,25,1377
,,0.44229674339294434,26,1430
,0.21240025758743286,,26,1430
,,0.5147837996482849,27,1483
,0.2064470499753952,,27,1483
,,0.5507599115371704,28,1536
,0.20127995312213898,,28,1536
,,0.4999399483203888,29,1589
,0.19231675565242767,,29,1589
,,0.4922160804271698,30,1642
,0.20022660493850708,,30,1642
,,0.5051684975624084,31,1695
,0.18642917275428772,,31,1695
,,0.7385017275810242,32,1748
,0.19499817490577698,,32,1748
,,0.6373796463012695,33,1801
,0.18979604542255402,,33,1801
,,0.6241406202316284,34,1854
,0.18415828049182892,,34,1854
,,0.5736362934112549,35,1907
,0.1890878677368164,,35,1907
,,0.5434914827346802,36,1960
,0.17921094596385956,,36,1960
,,0.4885929524898529,37,2013
,0.17859922349452972,,37,2013
,,0.6961629986763,38,2066
,0.17376196384429932,,38,2066
,,0.46604740619659424,39,2119
,0.17653243243694305,,39,2119
,,0.5921095609664917,40,2172
,0.16267773509025574,,40,2172
,,0.5209304690361023,41,2225
,0.17071780562400818,,41,2225
,,0.5505764484405518,42,2278
,0.1630723774433136,,42,2278
,,0.492727667093277,43,2331
,0.1722252368927002,,43,2331
,,0.5055918097496033,44,2384
,0.16234855353832245,,44,2384
,,0.5557747483253479,45,2437
,0.16339093446731567,,45,2437
,,0.4833528697490692,46,2490
,0.16093608736991882,,46,2490
,,0.5037046670913696,47,2543
,0.1552685648202896,,47,2543
,,0.4788495898246765,48,2596
,0.1572011262178421,,48,2596
,,0.4548334777355194,49,2649
,0.15832820534706116,,49,2649
0.45630812644958496,,,50,2650
