Test MSE,Train loss,Valid MSE,epoch,step
,,1.1216700077056885,0,104
,0.8384715914726257,,0,104
,,0.949152946472168,1,209
,0.7073026895523071,,1,209
,,0.9943886399269104,2,314
,0.6067306399345398,,2,314
,,0.994724690914154,3,419
,0.5431960225105286,,3,419
,,1.011232852935791,4,524
,0.5082297921180725,,4,524
,,0.7107919454574585,5,629
,0.44486504793167114,,5,629
,,0.6790823340415955,6,734
,0.4184735119342804,,6,734
,,0.6100631952285767,7,839
,0.3895876109600067,,7,839
,,0.8883709907531738,8,944
,0.3758876323699951,,8,944
,,0.7041949033737183,9,1049
,0.345790296792984,,9,1049
,,0.6817328929901123,10,1154
,0.3359655737876892,,10,1154
,,0.6897991895675659,11,1259
,0.32338571548461914,,11,1259
,,0.5613870620727539,12,1364
,0.3042922616004944,,12,1364
,,0.6821362376213074,13,1469
,0.30192726850509644,,13,1469
,,0.5267876982688904,14,1574
,0.2852576673030853,,14,1574
,,0.5530331134796143,15,1679
,0.2641305923461914,,15,1679
,,0.5397264361381531,16,1784
,0.28146594762802124,,16,1784
,,0.5043177604675293,17,1889
,0.25489234924316406,,17,1889
,,0.5445042252540588,18,1994
,0.2691706717014313,,18,1994
,,0.5337057113647461,19,2099
,0.2586609125137329,,19,2099
,,0.5472617149353027,20,2204
,0.2458820641040802,,20,2204
,,0.5021222233772278,21,2309
,0.23554342985153198,,21,2309
,,0.6892648339271545,22,2414
,0.2363668829202652,,22,2414
,,0.46658244729042053,23,2519
,0.2320653796195984,,23,2519
,,0.4763738512992859,24,2624
,0.2258974015712738,,24,2624
,,0.7132413983345032,25,2729
,0.2131434679031372,,25,2729
,,0.46098625659942627,26,2834
,0.21340176463127136,,26,2834
,,0.44947680830955505,27,2939
,0.21480688452720642,,27,2939
,,0.4374118447303772,28,3044
,0.20694604516029358,,28,3044
,,0.5881079435348511,29,3149
,0.20606449246406555,,29,3149
,,0.45188361406326294,30,3254
,0.19850565493106842,,30,3254
,,0.4415794312953949,31,3359
,0.19147098064422607,,31,3359
,,0.4352775514125824,32,3464
,0.19564677774906158,,32,3464
,,0.4194297194480896,33,3569
,0.18258389830589294,,33,3569
,,0.43223369121551514,34,3674
,0.17372877895832062,,34,3674
,,0.45398929715156555,35,3779
,0.19017542898654938,,35,3779
,,0.4969502389431,36,3884
,0.18548233807086945,,36,3884
,,0.4704935848712921,37,3989
,0.1760261207818985,,37,3989
,,0.42243778705596924,38,4094
,0.17774216830730438,,38,4094
,,0.4255005717277527,39,4199
,0.1774132251739502,,39,4199
,,0.49188390374183655,40,4304
,0.1743312031030655,,40,4304
,,0.4023047387599945,41,4409
,0.17637647688388824,,41,4409
,,0.42340871691703796,42,4514
,0.15768462419509888,,42,4514
,,0.5848650336265564,43,4619
,0.15815627574920654,,43,4619
,,0.4082084596157074,44,4724
,0.1633971780538559,,44,4724
,,0.39594992995262146,45,4829
,0.15884284675121307,,45,4829
,,0.4359576404094696,46,4934
,0.16199061274528503,,46,4934
,,0.496187299489975,47,5039
,0.15483243763446808,,47,5039
,,0.407352089881897,48,5144
,0.14547990262508392,,48,5144
,,0.4008590877056122,49,5249
,0.13679707050323486,,49,5249
,,0.3818454146385193,50,5354
,0.1533609926700592,,50,5354
,,0.43637800216674805,51,5459
,0.15058252215385437,,51,5459
,,0.5265800952911377,52,5564
,0.14336054027080536,,52,5564
,,0.5071343183517456,53,5669
,0.13937649130821228,,53,5669
,,0.46930816769599915,54,5774
,0.14814738929271698,,54,5774
,,0.4097033143043518,55,5879
,0.14718841016292572,,55,5879
,,0.3892560303211212,56,5984
,0.1411144733428955,,56,5984
,,0.4328502118587494,57,6089
,0.13244910538196564,,57,6089
,,0.39085978269577026,58,6194
,0.1453743427991867,,58,6194
,,0.4113006293773651,59,6299
,0.12956513464450836,,59,6299
,,0.37854039669036865,60,6404
,0.13579368591308594,,60,6404
,,0.41599810123443604,61,6509
,0.13361914455890656,,61,6509
,,0.38629764318466187,62,6614
,0.13549034297466278,,62,6614
,,0.3902217745780945,63,6719
,0.1233341321349144,,63,6719
,,0.36523154377937317,64,6824
,0.1308925300836563,,64,6824
,,0.41547220945358276,65,6929
,0.11648567020893097,,65,6929
,,0.42351245880126953,66,7034
,0.11625266075134277,,66,7034
