Test MSE,Train loss,Valid MSE,epoch,step
,,1.4234364032745361,0,104
,0.8153927326202393,,0,104
,,1.6865135431289673,1,209
,0.7055793404579163,,1,209
,,0.9015012979507446,2,314
,0.6151502728462219,,2,314
,,0.7650406360626221,3,419
,0.5345807671546936,,3,419
,,0.6347606182098389,4,524
,0.4724132716655731,,4,524
,,0.8127885460853577,5,629
,0.43507707118988037,,5,629
,,0.5448632836341858,6,734
,0.39313212037086487,,6,734
,,0.4852878749370575,7,839
,0.3892422616481781,,7,839
,,0.7160353064537048,8,944
,0.33413806557655334,,8,944
,,0.5998831391334534,9,1049
,0.3172813057899475,,9,1049
,,0.514641284942627,10,1154
,0.3019639253616333,,10,1154
,,0.43650245666503906,11,1259
,0.28954795002937317,,11,1259
,,0.4633016288280487,12,1364
,0.27605947852134705,,12,1364
,,0.5884906649589539,13,1469
,0.2584719657897949,,13,1469
,,0.40403324365615845,14,1574
,0.25474363565444946,,14,1574
,,0.4319230020046234,15,1679
,0.2564276158809662,,15,1679
,,0.35903245210647583,16,1784
,0.23050843179225922,,16,1784
,,0.47843796014785767,17,1889
,0.2357623428106308,,17,1889
,,0.4137692153453827,18,1994
,0.2276066243648529,,18,1994
,,0.4879360795021057,19,2099
,0.2212359607219696,,19,2099
,,0.40612518787384033,20,2204
,0.21290941536426544,,20,2204
,,0.38455331325531006,21,2309
,0.21583721041679382,,21,2309
,,0.33957841992378235,22,2414
,0.1987583488225937,,22,2414
,,0.4139709770679474,23,2519
,0.19078002870082855,,23,2519
,,0.3469979465007782,24,2624
,0.19500984251499176,,24,2624
,,0.3937431275844574,25,2729
,0.19017520546913147,,25,2729
,,0.6387211084365845,26,2834
,0.19600807130336761,,26,2834
,,0.3300625681877136,27,2939
,0.17700688540935516,,27,2939
,,0.49144595861434937,28,3044
,0.1898573487997055,,28,3044
,,0.40490227937698364,29,3149
,0.1910889893770218,,29,3149
,,0.31862673163414,30,3254
,0.18333880603313446,,30,3254
,,0.3670148253440857,31,3359
,0.18153740465641022,,31,3359
,,0.33559125661849976,32,3464
,0.18357926607131958,,32,3464
,,0.33462220430374146,33,3569
,0.16592267155647278,,33,3569
,,0.3317277729511261,34,3674
,0.16057473421096802,,34,3674
,,0.3162010610103607,35,3779
,0.16068756580352783,,35,3779
,,0.31435224413871765,36,3884
,0.15945591032505035,,36,3884
,,0.5031335949897766,37,3989
,0.15968462824821472,,37,3989
,,0.3533850610256195,38,4094
,0.16768240928649902,,38,4094
,,0.337932825088501,39,4199
,0.15153932571411133,,39,4199
,,0.3381122648715973,40,4304
,0.1433897614479065,,40,4304
,,0.3975910246372223,41,4409
,0.15739862620830536,,41,4409
,,0.30298733711242676,42,4514
,0.15063704550266266,,42,4514
,,0.4838942587375641,43,4619
,0.14697735011577606,,43,4619
,,0.32619282603263855,44,4724
,0.13775154948234558,,44,4724
,,0.330584317445755,45,4829
,0.14448943734169006,,45,4829
,,0.3421235978603363,46,4934
,0.1357613503932953,,46,4934
,,0.3085325062274933,47,5039
,0.14101803302764893,,47,5039
,,0.3808457851409912,48,5144
,0.1423555463552475,,48,5144
,,0.3400160074234009,49,5249
,0.12986621260643005,,49,5249
,,0.3348706066608429,50,5354
,0.12786602973937988,,50,5354
,,0.3307281732559204,51,5459
,0.13035427033901215,,51,5459
,,0.3418280780315399,52,5564
,0.13313601911067963,,52,5564
,,0.3199276030063629,53,5669
,0.1455865055322647,,53,5669
,,0.38627293705940247,54,5774
,0.12788596749305725,,54,5774
,,0.32011598348617554,55,5879
,0.11921124905347824,,55,5879
,,0.4948960840702057,56,5984
,0.14492623507976532,,56,5984
,,0.3107333183288574,57,6089
,0.131370410323143,,57,6089
,,0.31934526562690735,58,6194
,0.12102531641721725,,58,6194
,,0.3398459255695343,59,6299
,0.12250619381666183,,59,6299
,,0.38551950454711914,60,6404
,0.12271156162023544,,60,6404
,,0.33517569303512573,61,6509
,0.13093945384025574,,61,6509
,,0.4857434034347534,62,6614
,0.12069424986839294,,62,6614
,,0.309675008058548,63,6719
,0.12243800610303879,,63,6719
,,0.29183831810951233,64,6824
,0.1145160049200058,,64,6824
,,0.29306256771087646,65,6929
,0.11380621045827866,,65,6929
,,0.3156481683254242,66,7034
,0.11328723281621933,,66,7034
,,0.38415539264678955,67,7139
,0.12430498749017715,,67,7139
,,0.36294254660606384,68,7244
,0.11326302587985992,,68,7244
,,0.30702823400497437,69,7349
,0.12116806209087372,,69,7349
,,0.32598862051963806,70,7454
,0.1194959506392479,,70,7454
,,0.5691289901733398,71,7559
,0.1155214011669159,,71,7559
,,0.37288108468055725,72,7664
,0.11236003041267395,,72,7664
,,0.3110291659832001,73,7769
,0.10384437441825867,,73,7769
,,0.3144538402557373,74,7874
,0.11521077156066895,,74,7874
,,0.3596004247665405,75,7979
,0.10646586865186691,,75,7979
,,0.44445371627807617,76,8084
,0.10471341013908386,,76,8084
,,0.30191513895988464,77,8189
,0.1086556613445282,,77,8189
,,0.305895060300827,78,8294
,0.09959127008914948,,78,8294
,,0.32813364267349243,79,8399
,0.09838075935840607,,79,8399
,,0.35545074939727783,80,8504
,0.10174311697483063,,80,8504
,,0.3266543447971344,81,8609
,0.11146516352891922,,81,8609
,,0.32110047340393066,82,8714
,0.11690554022789001,,82,8714
,,0.3081461489200592,83,8819
,0.12093070894479752,,83,8819
,,0.3354184329509735,84,8924
,0.11635680496692657,,84,8924
,,0.3180153965950012,85,9029
,0.11808237433433533,,85,9029
,,0.30507874488830566,86,9134
,0.10534292459487915,,86,9134
,,0.35609498620033264,87,9239
,0.09931937605142593,,87,9239
,,0.30914926528930664,88,9344
,0.10421034693717957,,88,9344
,,0.31021735072135925,89,9449
,0.10250119119882584,,89,9449
,,0.29603883624076843,90,9554
,0.11030057817697525,,90,9554
,,0.391308456659317,91,9659
,0.11195308715105057,,91,9659
,,0.28557679057121277,92,9764
,0.10136742889881134,,92,9764
,,0.3249359428882599,93,9869
,0.09558054059743881,,93,9869
,,0.3009868562221527,94,9974
,0.09929380565881729,,94,9974
,,0.3199022114276886,95,10079
,0.10207286477088928,,95,10079
,,0.2753613591194153,96,10184
,0.09126242250204086,,96,10184
,,0.2834484279155731,97,10289
,0.09317949414253235,,97,10289
,,0.29101619124412537,98,10394
,0.09214719384908676,,98,10394
,,0.3269309103488922,99,10499
,0.08985495567321777,,99,10499
0.45944052934646606,,,100,10500
