Test MSE,Train loss,Valid MSE,epoch,step
,,1.0869450569152832,0,52
,0.8268402814865112,,0,52
,,1.0045465230941772,1,105
,0.7290735244750977,,1,105
,,0.956932008266449,2,158
,0.6447374224662781,,2,158
,,1.0256402492523193,3,211
,0.579364001750946,,3,211
,,0.6973761320114136,4,264
,0.5055739879608154,,4,264
,,0.9109241366386414,5,317
,0.46704086661338806,,5,317
,,0.6883119344711304,6,370
,0.42820173501968384,,6,370
,,0.7313138842582703,7,423
,0.38572201132774353,,7,423
,,0.6339576244354248,8,476
,0.36680489778518677,,8,476
,,0.6594768166542053,9,529
,0.3440658748149872,,9,529
,,0.6475020051002502,10,582
,0.34073758125305176,,10,582
,,0.6670952439308167,11,635
,0.33306798338890076,,11,635
,,0.6298837661743164,12,688
,0.3073112964630127,,12,688
,,0.6065248250961304,13,741
,0.2951692044734955,,13,741
,,0.6250880360603333,14,794
,0.2887600362300873,,14,794
,,0.6276573538780212,15,847
,0.2825717628002167,,15,847
,,0.6035792231559753,16,900
,0.28415292501449585,,16,900
,,0.5766635537147522,17,953
,0.2529095709323883,,17,953
,,0.6680740714073181,18,1006
,0.24993036687374115,,18,1006
,,0.616553544998169,19,1059
,0.25110018253326416,,19,1059
,,0.6314489841461182,20,1112
,0.24330323934555054,,20,1112
,,0.7247254252433777,21,1165
,0.2375105321407318,,21,1165
,,0.6095321774482727,22,1218
,0.23975878953933716,,22,1218
,,0.5677635073661804,23,1271
,0.2299456149339676,,23,1271
,,0.550626814365387,24,1324
,0.22684133052825928,,24,1324
,,0.578999936580658,25,1377
,0.21910737454891205,,25,1377
,,0.5381416082382202,26,1430
,0.2094740867614746,,26,1430
,,0.5356305241584778,27,1483
,0.22039102017879486,,27,1483
,,0.5545089840888977,28,1536
,0.20806138217449188,,28,1536
,,0.5596839785575867,29,1589
,0.20313405990600586,,29,1589
,,0.601874828338623,30,1642
,0.2035069316625595,,30,1642
,,0.6318891048431396,31,1695
,0.2106887847185135,,31,1695
,,0.5456216931343079,32,1748
,0.21230632066726685,,32,1748
,,0.6628113389015198,33,1801
,0.19354824721813202,,33,1801
,,0.5609371066093445,34,1854
,0.19594259560108185,,34,1854
,,0.6107379198074341,35,1907
,0.18950098752975464,,35,1907
,,0.6030853986740112,36,1960
,0.19081716239452362,,36,1960
,,0.556621789932251,37,2013
,0.19274112582206726,,37,2013
,,0.5530491471290588,38,2066
,0.18300071358680725,,38,2066
,,0.5497711300849915,39,2119
,0.19267168641090393,,39,2119
,,0.5529085993766785,40,2172
,0.179773211479187,,40,2172
,,0.601309597492218,41,2225
,0.1811293661594391,,41,2225
,,0.6173248291015625,42,2278
,0.17768220603466034,,42,2278
,,0.5457927584648132,43,2331
,0.1756318211555481,,43,2331
,,0.6064022779464722,44,2384
,0.180816188454628,,44,2384
,,0.6256434321403503,45,2437
,0.17018213868141174,,45,2437
,,0.6033249497413635,46,2490
,0.17855122685432434,,46,2490
,,0.5904146432876587,47,2543
,0.16567036509513855,,47,2543
,,0.6079029440879822,48,2596
,0.17336373031139374,,48,2596
,,0.598670244216919,49,2649
,0.16221320629119873,,49,2649
0.34271347522735596,,,50,2650
