Test MSE,Train loss,Valid MSE,epoch,step
,,1.1089156866073608,0,52
,0.8287711143493652,,0,52
,,1.0811216831207275,1,105
,0.7032373547554016,,1,105
,,0.9271888136863708,2,158
,0.6222586631774902,,2,158
,,0.7549532055854797,3,211
,0.5503039956092834,,3,211
,,0.6739835143089294,4,264
,0.49203717708587646,,4,264
,,0.6727285385131836,5,317
,0.4397861659526825,,5,317
,,0.5943430066108704,6,370
,0.4056316316127777,,6,370
,,0.5305110812187195,7,423
,0.38153204321861267,,7,423
,,0.5159828662872314,8,476
,0.35752445459365845,,8,476
,,0.5156676769256592,9,529
,0.3206534683704376,,9,529
,,0.596269965171814,10,582
,0.3048570156097412,,10,582
,,0.452140748500824,11,635
,0.28340765833854675,,11,635
,,0.3932375907897949,12,688
,0.26769813895225525,,12,688
,,0.40529945492744446,13,741
,0.25787854194641113,,13,741
,,0.4650895297527313,14,794
,0.2516326904296875,,14,794
,,0.3908460736274719,15,847
,0.23142389953136444,,15,847
,,0.3557701110839844,16,900
,0.22838962078094482,,16,900
,,0.3882850110530853,17,953
,0.226008802652359,,17,953
,,0.36172938346862793,18,1006
,0.2116752564907074,,18,1006
,,0.710271418094635,19,1059
,0.20032334327697754,,19,1059
,,0.4341249167919159,20,1112
,0.19764091074466705,,20,1112
,,0.34858474135398865,21,1165
,0.20224879682064056,,21,1165
,,0.40311199426651,22,1218
,0.1904306709766388,,22,1218
,,0.34955504536628723,23,1271
,0.1958676129579544,,23,1271
,,0.40440237522125244,24,1324
,0.17829394340515137,,24,1324
,,0.35560542345046997,25,1377
,0.18171213567256927,,25,1377
,,0.4237898886203766,26,1430
,0.17535240948200226,,26,1430
,,0.365690678358078,27,1483
,0.168817400932312,,27,1483
,,0.3333764970302582,28,1536
,0.16617481410503387,,28,1536
,,0.34634968638420105,29,1589
,0.1751713901758194,,29,1589
,,0.4035118520259857,30,1642
,0.15860183537006378,,30,1642
,,0.456187903881073,31,1695
,0.1593921184539795,,31,1695
,,0.3772290349006653,32,1748
,0.14336161315441132,,32,1748
,,0.3622829020023346,33,1801
,0.1454310268163681,,33,1801
,,0.43741467595100403,34,1854
,0.1433774083852768,,34,1854
,,0.3731508255004883,35,1907
,0.1504371464252472,,35,1907
,,0.3614880442619324,36,1960
,0.14370645582675934,,36,1960
,,0.33957037329673767,37,2013
,0.13757900893688202,,37,2013
,,0.3969869315624237,38,2066
,0.12750574946403503,,38,2066
,,0.31970980763435364,39,2119
,0.12657400965690613,,39,2119
,,0.32298052310943604,40,2172
,0.1300286054611206,,40,2172
,,0.33921292424201965,41,2225
,0.12233886867761612,,41,2225
,,0.388406366109848,42,2278
,0.1205662414431572,,42,2278
,,0.3797653019428253,43,2331
,0.1155346930027008,,43,2331
,,0.39887291193008423,44,2384
,0.12910206615924835,,44,2384
,,0.3384969234466553,45,2437
,0.12046090513467789,,45,2437
,,0.34663867950439453,46,2490
,0.11267883330583572,,46,2490
,,0.31471163034439087,47,2543
,0.11920949816703796,,47,2543
,,0.3697036802768707,48,2596
,0.11090844869613647,,48,2596
,,0.38119301199913025,49,2649
,0.11774495244026184,,49,2649
,,0.3166033923625946,50,2702
,0.1144777163863182,,50,2702
,,0.4323522746562958,51,2755
,0.10123267024755478,,51,2755
,,0.32538583874702454,52,2808
,0.10687950998544693,,52,2808
,,0.32855647802352905,53,2861
,0.10649020224809647,,53,2861
,,0.4593261778354645,54,2914
,0.10927736759185791,,54,2914
,,0.3959101438522339,55,2967
,0.1034151166677475,,55,2967
,,0.35095110535621643,56,3020
,0.09648553282022476,,56,3020
,,0.306677907705307,57,3073
,0.09590432792901993,,57,3073
,,0.2904541492462158,58,3126
,0.0966009721159935,,58,3126
,,0.3415645658969879,59,3179
,0.0956396535038948,,59,3179
,,0.3128165304660797,60,3232
,0.09478317201137543,,60,3232
,,0.31874293088912964,61,3285
,0.0997093990445137,,61,3285
,,0.3624301254749298,62,3338
,0.10140004754066467,,62,3338
,,0.30996331572532654,63,3391
,0.09148421883583069,,63,3391
,,0.5069273710250854,64,3444
,0.09110855311155319,,64,3444
,,0.34324637055397034,65,3497
,0.08979716151952744,,65,3497
,,0.3342813551425934,66,3550
,0.08907808363437653,,66,3550
,,0.300009548664093,67,3603
,0.08699088543653488,,67,3603
,,0.3214406371116638,68,3656
,0.08917975425720215,,68,3656
,,0.33435341715812683,69,3709
,0.0899524837732315,,69,3709
,,0.34600353240966797,70,3762
,0.08773467689752579,,70,3762
,,0.47862374782562256,71,3815
,0.08776293694972992,,71,3815
,,0.3359682857990265,72,3868
,0.09686582535505295,,72,3868
,,0.3242006301879883,73,3921
,0.08815924823284149,,73,3921
,,0.300225168466568,74,3974
,0.08397974818944931,,74,3974
,,0.32110708951950073,75,4027
,0.08460154384374619,,75,4027
,,0.3239145874977112,76,4080
,0.08819572627544403,,76,4080
,,0.30588093400001526,77,4133
,0.08831295371055603,,77,4133
,,0.3449555039405823,78,4186
,0.08520656079053879,,78,4186
,,0.4322676956653595,79,4239
,0.09304029494524002,,79,4239
,,0.30663803219795227,80,4292
,0.08046846091747284,,80,4292
,,0.3092173635959625,81,4345
,0.08312899619340897,,81,4345
,,0.35516873002052307,82,4398
,0.08527936041355133,,82,4398
,,0.33184805512428284,83,4451
,0.09078437089920044,,83,4451
,,0.3306090533733368,84,4504
,0.08716825395822525,,84,4504
,,0.3111507296562195,85,4557
,0.08129403740167618,,85,4557
,,0.3262898623943329,86,4610
,0.08167095482349396,,86,4610
,,0.33663254976272583,87,4663
,0.08122174441814423,,87,4663
,,0.3343144953250885,88,4716
,0.08011747896671295,,88,4716
,,0.44621914625167847,89,4769
,0.0836765468120575,,89,4769
,,0.33487629890441895,90,4822
,0.08190109580755234,,90,4822
,,0.4434366822242737,91,4875
,0.08125823736190796,,91,4875
,,0.3249046206474304,92,4928
,0.08945644646883011,,92,4928
,,0.4210798442363739,93,4981
,0.07704009115695953,,93,4981
,,0.3029671013355255,94,5034
,0.07616227865219116,,94,5034
,,0.307076096534729,95,5087
,0.08059417456388474,,95,5087
,,0.3619544506072998,96,5140
,0.08002490550279617,,96,5140
,,0.3482529819011688,97,5193
,0.07650946080684662,,97,5193
,,0.3443041145801544,98,5246
,0.07218237966299057,,98,5246
,,0.33889999985694885,99,5299
,0.068586565554142,,99,5299
0.3551296591758728,,,100,5300
