Test MSE,Train loss,Valid MSE,epoch,step
,,1.0424212217330933,0,104
,0.8284280896186829,,0,104
,,1.0832650661468506,1,209
,0.7106656432151794,,1,209
,,0.8789821267127991,2,314
,0.6400991678237915,,2,314
,,0.7512539029121399,3,419
,0.5733630657196045,,3,419
,,1.3507822751998901,4,524
,0.5206364393234253,,4,524
,,0.7961669564247131,5,629
,0.4724348783493042,,5,629
,,0.7739938497543335,6,734
,0.46459439396858215,,6,734
,,1.0253163576126099,7,839
,0.4353867471218109,,7,839
,,0.5861040353775024,8,944
,0.4021168351173401,,8,944
,,0.7479625344276428,9,1049
,0.40110164880752563,,9,1049
,,0.525973916053772,10,1154
,0.36843088269233704,,10,1154
,,0.7346077561378479,11,1259
,0.35370296239852905,,11,1259
,,0.5791540145874023,12,1364
,0.35360947251319885,,12,1364
,,0.8079110980033875,13,1469
,0.3329182267189026,,13,1469
,,0.47028231620788574,14,1574
,0.3230554163455963,,14,1574
,,0.47151419520378113,15,1679
,0.3308776617050171,,15,1679
,,0.4875873327255249,16,1784
,0.3072740137577057,,16,1784
,,0.431693434715271,17,1889
,0.30675527453422546,,17,1889
,,0.4458223879337311,18,1994
,0.2937881052494049,,18,1994
,,0.41306549310684204,19,2099
,0.2823798954486847,,19,2099
,,0.516384482383728,20,2204
,0.2739979326725006,,20,2204
,,0.43152859807014465,21,2309
,0.27018842101097107,,21,2309
,,0.433618426322937,22,2414
,0.2692379057407379,,22,2414
,,0.45830801129341125,23,2519
,0.26321831345558167,,23,2519
,,0.40226155519485474,24,2624
,0.25417202711105347,,24,2624
,,0.42773130536079407,25,2729
,0.24586476385593414,,25,2729
,,0.49298349022865295,26,2834
,0.2510959804058075,,26,2834
,,0.4869283139705658,27,2939
,0.24122942984104156,,27,2939
,,0.3965970575809479,28,3044
,0.22975857555866241,,28,3044
,,0.38164788484573364,29,3149
,0.22462448477745056,,29,3149
,,0.4340860843658447,30,3254
,0.2326640784740448,,30,3254
,,0.41128382086753845,31,3359
,0.23040568828582764,,31,3359
,,0.38202497363090515,32,3464
,0.22149969637393951,,32,3464
,,0.4095959961414337,33,3569
,0.21886593103408813,,33,3569
,,0.48756492137908936,34,3674
,0.22053062915802002,,34,3674
,,0.42179393768310547,35,3779
,0.21872732043266296,,35,3779
,,0.3908345103263855,36,3884
,0.20960135757923126,,36,3884
,,0.3835395872592926,37,3989
,0.209122434258461,,37,3989
,,0.4154883325099945,38,4094
,0.20234516263008118,,38,4094
,,0.4788549244403839,39,4199
,0.20651081204414368,,39,4199
,,0.4212215840816498,40,4304
,0.20293933153152466,,40,4304
,,0.3658180832862854,41,4409
,0.18182684481143951,,41,4409
,,0.4141639471054077,42,4514
,0.19159430265426636,,42,4514
,,0.3911524713039398,43,4619
,0.19462363421916962,,43,4619
,,0.41720592975616455,44,4724
,0.18102721869945526,,44,4724
