Test MSE,Train loss,Valid MSE,epoch,step
,,1.1794825792312622,0,52
,0.8179214596748352,,0,52
,,1.3173390626907349,1,105
,0.6481068730354309,,1,105
,,2.0018696784973145,2,158
,0.5541300177574158,,2,158
,,0.7098070383071899,3,211
,0.4752180874347687,,3,211
,,0.8422667980194092,4,264
,0.4157100319862366,,4,264
,,0.7114010453224182,5,317
,0.382622629404068,,5,317
,,0.7460405826568604,6,370
,0.3605814576148987,,6,370
,,0.5943032503128052,7,423
,0.34063172340393066,,7,423
,,0.6052473187446594,8,476
,0.3074631690979004,,8,476
,,0.5647106170654297,9,529
,0.29708606004714966,,9,529
,,0.5484524369239807,10,582
,0.28362491726875305,,10,582
,,0.46330854296684265,11,635
,0.25494587421417236,,11,635
,,0.5507283806800842,12,688
,0.25106656551361084,,12,688
,,0.7001094818115234,13,741
,0.23076534271240234,,13,741
,,0.5149136781692505,14,794
,0.22729624807834625,,14,794
,,0.4581681489944458,15,847
,0.21472720801830292,,15,847
,,0.44852888584136963,16,900
,0.2050856649875641,,16,900
,,0.7202332019805908,17,953
,0.20410260558128357,,17,953
,,0.4639313220977783,18,1006
,0.20195072889328003,,18,1006
,,0.46385616064071655,19,1059
,0.1871580183506012,,19,1059
,,0.4829217493534088,20,1112
,0.18657582998275757,,20,1112
,,0.39140915870666504,21,1165
,0.1791573315858841,,21,1165
,,0.47535017132759094,22,1218
,0.17001311480998993,,22,1218
,,0.3811739385128021,23,1271
,0.17543980479240417,,23,1271
,,0.43578246235847473,24,1324
,0.16112735867500305,,24,1324
,,0.46559938788414,25,1377
,0.16273841261863708,,25,1377
,,0.3770275115966797,26,1430
,0.15280869603157043,,26,1430
,,0.37131184339523315,27,1483
,0.14802192151546478,,27,1483
,,0.4293321371078491,28,1536
,0.1504441201686859,,28,1536
,,0.3636191189289093,29,1589
,0.14148730039596558,,29,1589
,,0.38878509402275085,30,1642
,0.14040948450565338,,30,1642
,,0.3728564381599426,31,1695
,0.14161312580108643,,31,1695
,,0.3939606547355652,32,1748
,0.13606935739517212,,32,1748
,,0.4235309958457947,33,1801
,0.1311737447977066,,33,1801
,,0.6599879860877991,34,1854
,0.13712039589881897,,34,1854
,,0.41482052206993103,35,1907
,0.12799102067947388,,35,1907
,,0.41248640418052673,36,1960
,0.11629427969455719,,36,1960
,,0.45290306210517883,37,2013
,0.1322326809167862,,37,2013
,,0.4223140776157379,38,2066
,0.11823396384716034,,38,2066
,,0.34239569306373596,39,2119
,0.11187411099672318,,39,2119
,,0.3813115358352661,40,2172
,0.10958445817232132,,40,2172
,,0.3879167139530182,41,2225
,0.1100991889834404,,41,2225
,,0.4008191227912903,42,2278
,0.11461931467056274,,42,2278
,,0.387023389339447,43,2331
,0.10807140171527863,,43,2331
,,0.31609976291656494,44,2384
,0.107174351811409,,44,2384
,,0.3686753809452057,45,2437
,0.09894261509180069,,45,2437
,,0.3246757984161377,46,2490
,0.10889311134815216,,46,2490
,,0.4468337893486023,47,2543
,0.09674045443534851,,47,2543
,,0.37646496295928955,48,2596
,0.10301339626312256,,48,2596
,,0.3477681279182434,49,2649
,0.10343457013368607,,49,2649
0.7099249362945557,,,50,2650
